x,pct_inTotal,pct_inTOD
Agriculture,4.65%,0.22%
Commercial: General,7.10%,9.93%
Commercial: Hotel/Motel,0.15%,0.14%
Commercial: Mixed-Use,0.75%,3.17%
Commercial: Office,0.43%,0.65%
Commercial: Public Storage,0.13%,0.15%
Commercial: Regional and Community Retail Center,0.62%,0.60%
Commercial: Shopping Mall,0.01%,0.00%
Commercial: Single Large-Site Retail,0.05%,0.02%
Industrial: General,1.03%,1.66%
Industrial: Mixed-Use,0.15%,0.07%
Industrial: Warehousing/Distribution/Open Storage,0.41%,0.45%
Institutional: Cemetery,0.28%,0.25%
Institutional: Correctional Facility and Detention Center,0.02%,0.02%
Institutional: Education,0.76%,1.53%
Institutional: General,1.28%,2.14%
Institutional: Medical,0.16%,0.31%
Institutional: Religious,1.28%,2.48%
Military,0.05%,0.01%
Mining,0.03%,0.00%
Parking - Agriculture,0.05%,0.01%
Parking - Commercial: General,5.28%,6.16%
Parking - Commercial: Hotel/Motel,0.16%,0.08%
Parking - Commercial: Mixed-Use,0.16%,0.53%
Parking - Commercial: Office,0.49%,0.39%
Parking - Commercial: Public Storage,0.03%,0.04%
Parking - Commercial: Regional and Community Retail Center,0.75%,0.65%
Parking - Commercial: Shopping Mall,0.02%,0.00%
Parking - Commercial: Single Large-Site Retail,0.06%,0.03%
Parking - Industrial: General,1.14%,1.01%
Parking - Industrial: Mixed-Use,0.24%,0.12%
Parking - Industrial: Warehousing/Distribution/Open Storage,0.36%,0.21%
Parking - Institutional: Cemetery,0.02%,0.02%
Parking - Institutional: Correctional Facility and Detention Center,0.03%,0.02%
Parking - Institutional: Education,1.13%,1.56%
Parking - Institutional: General,1.17%,1.65%
Parking - Institutional: Medical,0.30%,0.46%
Parking - Institutional: Religious,0.97%,1.32%
Parking - Military,0.11%,0.01%
Parking - Mining,0.00%,
Parking - Recreation: General,1.01%,0.64%
Parking - Recreation: Golf Course,0.09%,0.03%
Parking - Residential: Mixed-Use,0.00%,0.03%
Parking - Residential: Mobile Home,0.01%,0.00%
Parking - Residential: Multifamily,3.18%,3.91%
Parking - Transportation: Airport,0.03%,0.06%
Parking - Transportation: Facility,0.21%,0.62%
Parking - Undeveloped: Undetermined Use,0.08%,0.13%
Parking - Utility: Landfill,0.00%,
Parking - Utility: Other Facility,0.11%,0.16%
Parking - Utility: Recycling,0.01%,0.02%
Parking - Utility: Wastewater Treatment,0.02%,0.02%
Recreation: General,2.36%,2.38%
Recreation: Golf Course,0.15%,0.04%
Residential: Mixed-Use,0.01%,0.09%
Residential: Mobile Home,0.12%,0.02%
Residential: Multifamily,10.95%,28.42%
Residential: Single-Family Detached,25.06%,14.03%
Transportation: Airport,0.03%,0.05%
Transportation: Facility,0.26%,0.67%
Transportation: Highway Right-of-Way,0.85%,0.47%
Transportation: Rail Right-of-Way,0.26%,0.75%
Transportation: Roadway,0.35%,0.36%
Undeveloped: Drainage Basin,2.53%,0.49%
Undeveloped: General,5.72%,3.88%
Undeveloped: Transitional Land,0.47%,0.37%
Utility: Landfill,0.01%,0.01%
Utility: Other Facility,0.81%,0.62%
Utility: Recycling,0.07%,0.06%
Utility: Right-of-Way,0.83%,0.15%
Utility: Wastewater Treatment,0.07%,0.04%
Water,3.79%,0.93%
Wooded,8.70%,2.47%
