station,line,MedIncm,MdInm_qn,pvt_rate,pvt_qn,gp_score,own_hs_qn,not_gen,geometry
Congress Avenue,Route 101 & 102 Trolley Lines,21927,2,0.23948936170212767,3,2,6,1,
                "c(-75.2791631996187, 39.9529739505117)"
Angora,Media/Elwyn Line,24595,2,0.2496641289744738,2,1,2,1,
                "c(-75.2383531604327, 39.944919322468)"
Bridesburg,Trenton Line,14731,1,0.2893154486586494,1,1,2,1,
                "c(-75.0698758587585, 40.0107133388728)"
Elm Street,Manayunk/Norristown Line,24340,2,0.2573205493651205,2,1,3,1,
                "c(-75.3450604459392, 40.1208347077399)"
Walnut Street,Route 101 & 102 Trolley Lines,21927,2,0.23948936170212767,3,2,6,1,
                "c(-75.2664972077188, 39.9588687558442)"
Fairfield Avenue,Route 101 & 102 Trolley Lines,21927,2,0.23948936170212767,3,2,6,1,
                "c(-75.2637851737656, 39.9607435286887)"
Germantown,Chestnut Hill East Line,12525,1,0.2738450074515648,1,1,2,2,
                "c(-75.1719277258105, 40.0378573216115)"
Arrott Transportation Center,Market/Frankford Line,17881,1,0.28050858565998166,1,1,2,2,
                "c(-75.0838643214677, 40.0165954874797)"
Tioga,Market/Frankford Line,14521,1,0.36186099942561745,1,1,2,2,
                "c(-75.1063668388711, 40.0003621121859)"
Olney Transportation Center,Broad Street Line,24010,2,0.2357253086419753,3,2,4,2,
                "c(-75.1446820691255, 40.0390696949201)"
Logan,Broad Street Line,24010,2,0.2357253086419753,3,2,4,2,
                "c(-75.1466853562853, 40.0299127028296)"
Somerset,Market/Frankford Line,10653,1,0.3346183500385505,1,1,2,2,
                "c(-75.1222737712967, 39.991623676369)"
Wister,Chestnut Hill East Line,15135,1,0.24849594559246665,2,2,2,3,
                "c(-75.1615084335181, 40.0361871516796)"
Cheltenham,Fox Chase Line,22966,2,0.2911750825861255,1,2,2,3,
                "c(-75.0928488971988, 40.0578721071381)"
Millbourne,Market/Frankford Line,19439,2,0.24128073184676957,3,2,3,3,
                "c(-75.2525542520918, 39.964463253446)"
Avon Road,Route 101 & 102 Trolley Lines,21862,2,0.2738467960759758,1,2,2,3,
                "c(-75.2690710142255, 39.9577000818777)"
Church,Market/Frankford Line,18407,1,0.3608832807570978,1,1,2,3,
                "c(-75.0890847695248, 40.0104226625642)"
Wyoming,Broad Street Line,21151,2,0.24205995844464231,3,2,3,3,
                "c(-75.1478556233418, 40.0245622801973)"
St. Davids,Paoli/Thorndale Line,14619,1,0.17778530308161192,8,10,8,4,
                "c(-75.3734362440179, 40.0440953527898)"
Washington Lane,Chestnut Hill East Line,18696,1,0.1864041833282067,7,9,5,4,
                "c(-75.171572503179, 40.0511080390636)"
Erie-Torresdale,Market/Frankford Line,17551,1,0.34300619497880663,1,2,2,4,
                "c(-75.0961641093495, 40.0059457411178)"
Fernwood-Yeadon,Media/Elwyn Line,21161,2,0.2825565912117177,1,2,2,4,
                "c(-75.2558295197312, 39.9397224508523)"
Allegheny,Market/Frankford Line,10563,1,0.313768342179207,1,1,1,4,
                "c(-75.1134266160351, 39.9964885468142)"
60th Street,Market/Frankford Line,18575,1,0.2744556884391291,1,1,1,4,
                "c(-75.2407096408004, 39.9619704483485)"
Darby,Wilmington/Newark Line,22172,2,0.21445144182963208,5,6,3,5,
                "c(-75.2545951681446, 39.9129530558702)"
Broadway,PATCO,12814,1,0.18329326923076922,7,9,4,5,
                "c(-75.1198274263474, 39.9431120837317)"
Hamilton Avenue,RiverLine,20422,2,0.23093777388255915,3,2,1,5,
                "c(-74.7558067525938, 40.2119610020886)"
City Hall,PATCO,12814,1,0.18329326923076922,7,9,4,5,
                "c(-75.121006026308, 39.9456608390993)"
56th Street,Market/Frankford Line,15241,1,0.2666980244590781,2,2,1,5,
                "c(-75.2327992009275, 39.9609897258152)"
Huntingdon,Market/Frankford Line,10763,1,0.2665557404326123,2,2,1,5,
                "c(-75.1274182924271, 39.9887950873533)"
Highland Avenue,Wilmington/Newark Line,15785,1,0.21246355685131196,5,7,3,6,
                "c(-75.3930087323613, 39.8337006222012)"
Allegheny,Manayunk/Norristown Line,15032,1,0.19796003330557868,6,8,3,6,
                "c(-75.165255482517, 40.003788771253)"
Holmesburg Junction,Trenton Line,22219,2,0.19427181842745203,6,7,3,6,
                "c(-75.0238556833839, 40.0326493129511)"
Bryn Mawr,Norristown High Speed Line,11845,1,0.11496244945118429,10,10,4,6,
                "c(-75.3233467822585, 40.0179974728811)"
Garrett Hill,Norristown High Speed Line,11845,1,0.11496244945118429,10,10,4,6,
                "c(-75.3362225703732, 40.0277877961634)"
52nd Street,Market/Frankford Line,19399,1,0.2116713214758195,5,7,2,7,
                "c(-75.2248799190994, 39.95999745583)"
Chester Transportation Center,Wilmington/Newark Line,19092,1,0.1606942889137738,8,9,3,7,
                "c(-75.3600691253818, 39.8494803252901)"
Wayne Junction,SEPTA Main Line,16383,1,0.09503491078355314,10,10,3,7,
                "c(-75.160041730331, 40.0225080863398)"
Ferry Avenue,PATCO,16129,1,0.24751066856330015,3,4,1,7,
                "c(-75.0916697511908, 39.9226852536206)"
Hunting Park,Broad Street Line,17219,1,0.22800844475721324,4,6,2,7,
                "c(-75.1492977323284, 40.0179678398902)"
Cass Street,RiverLine,17165,1,0.24349733625822625,3,5,1,8,
                "c(-74.7543126396183, 40.2054264095715)"
40th Street,Market/Frankford Line,20885,2,0.21763826606875933,5,6,1,8,
                "c(-75.2019624820661, 39.957153415565)"
46th Street,Market/Frankford Line,20885,2,0.21763826606875933,5,6,1,8,
                "c(-75.2140078008179, 39.9586666151986)"
North Philadelphia,Broad Street Line,14660,1,0.15635451505016723,9,10,2,8,
                "c(-75.1545130006472, 39.9941099992232)"
Fern Rock Transportation Center,Broad Street Line,23049,2,0.18424213307710785,7,8,2,8,
                "c(-75.1368235524688, 40.0418298570386)"
63rd Street,Market/Frankford Line,19091,1,0.18583873129327674,7,9,1,9,
                "c(-75.2466916659295, 39.962711697209)"
Trenton Transit Center,RiverLine,19568,2,0.1896355353075171,7,8,1,9,
                "c(-74.7551220456131, 40.2183613198001)"
Marcus Hook,Wilmington/Newark Line,20873,2,0.18689105403011513,7,8,1,9,
                "c(-75.4196013004024, 39.8216251341399)"
Allegheny,Broad Street Line,15246,1,0.20454545454545456,6,8,1,9,
                "c(-75.1528737808592, 40.0015994776762)"
Erie,Broad Street Line,15246,1,0.20454545454545456,6,8,1,9,
                "c(-75.1512005839765, 40.0092645270496)"
Cooper Street/Rutgers University,RiverLine,14613,1,0.07389686337054759,10,10,1,10,
                "c(-75.1247364842694, 39.9476530479607)"
Entertainment Center,RiverLine,14613,1,0.07389686337054759,10,10,1,10,
                "c(-75.1284937397272, 39.940882160981)"
North Broad,SEPTA Main Line,23088,2,0.09861668897813476,10,10,1,10,
                "c(-75.1539195070815, 39.9922512082508)"
Aquarium,RiverLine,14613,1,0.07389686337054759,10,10,1,10,
                "c(-75.1287356012117, 39.9456365069255)"
Susquehanna-Dauphin,Broad Street Line,23088,2,0.09861668897813476,10,10,1,10,
                "c(-75.1560405434832, 39.987084210834)"
